id,src,dst,ttype
279,7,26,TRANSFER
280,7,1225,TRANSFER
281,7,956,TRANSFER
282,8,34,TRANSFER
283,8,154,TRANSFER
284,8,31,TRANSFER
285,8,9,TRANSFER
286,8,22,TRANSFER
287,8,24,TRANSFER
288,8,117,TRANSFER
289,8,97,TRANSFER
290,8,10,TRANSFER
291,8,23,TRANSFER
292,8,121,TRANSFER
293,8,243,TRANSFER
294,8,36,TRANSFER
295,8,40,TRANSFER
296,8,25,TRANSFER
297,8,334,TRANSFER
298,8,16,TRANSFER
299,8,890,TRANSFER
300,8,215,TRANSFER
301,8,577,TRANSFER
302,8,21,TRANSFER
303,8,964,TRANSFER
304,8,4,TRANSFER
305,8,33,TRANSFER
306,8,45,TRANSFER
307,8,686,TRANSFER
308,8,65,TRANSFER
309,8,865,TRANSFER
310,8,15,TRANSFER
311,8,475,TRANSFER
312,8,1013,TRANSFER
313,8,73,TRANSFER
314,8,41,TRANSFER
315,8,547,TRANSFER
316,8,51,TRANSFER
317,8,1246,TRANSFER
318,8,13,TRANSFER
319,8,52,TRANSFER
320,8,42,TRANSFER
321,8,127,TRANSFER
322,8,29,TRANSFER
323,8,318,TRANSFER
324,8,742,TRANSFER
325,8,87,TRANSFER
326,8,12,TRANSFER
327,8,152,TRANSFER
328,8,81,TRANSFER
329,8,1396,TRANSFER
330,8,20,TRANSFER
331,8,551,TRANSFER
332,8,7,TRANSFER
333,8,1392,TRANSFER
334,8,135,TRANSFER
335,8,103,TRANSFER
336,8,315,TRANSFER
337,8,147,TRANSFER
338,8,309,TRANSFER
339,8,1053,TRANSFER
8383,8,53,TRANSFER
340,9,288,TRANSFER
341,9,25,TRANSFER
342,9,1175,TRANSFER
343,9,141,TRANSFER
344,9,115,TRANSFER
345,9,49,TRANSFER
346,9,13,TRANSFER
347,9,29,TRANSFER
348,9,96,TRANSFER
349,9,144,TRANSFER
350,9,17,TRANSFER
351,9,83,TRANSFER
352,9,77,TRANSFER
353,9,23,TRANSFER
354,9,28,TRANSFER
355,9,24,TRANSFER
356,9,733,TRANSFER
357,9,6,TRANSFER
358,9,16,TRANSFER
359,9,52,TRANSFER
360,9,41,TRANSFER
361,9,27,TRANSFER
362,9,334,TRANSFER
363,9,322,TRANSFER
364,9,10,TRANSFER
365,9,33,TRANSFER
366,9,152,TRANSFER
367,9,59,TRANSFER
368,9,36,TRANSFER
369,9,80,TRANSFER
370,9,234,TRANSFER
371,9,11,TRANSFER
372,9,15,TRANSFER
373,9,92,TRANSFER
374,9,109,TRANSFER
375,9,21,TRANSFER
376,9,181,TRANSFER
377,9,31,TRANSFER
378,9,74,TRANSFER
379,9,14,TRANSFER
380,9,5,TRANSFER
381,9,458,TRANSFER
382,9,324,TRANSFER
383,9,342,TRANSFER
384,9,156,TRANSFER
385,9,114,TRANSFER
386,9,913,TRANSFER
387,9,970,TRANSFER
388,9,235,TRANSFER
389,9,8,TRANSFER
390,9,476,TRANSFER
391,9,100,TRANSFER
392,9,79,TRANSFER
393,9,63,TRANSFER
394,9,340,TRANSFER
395,9,320,TRANSFER
396,9,44,TRANSFER
397,9,58,TRANSFER
398,9,78,TRANSFER
399,9,48,TRANSFER
400,9,38,TRANSFER
401,9,35,TRANSFER
402,9,218,TRANSFER
403,9,46,TRANSFER
404,9,50,TRANSFER
405,9,1079,TRANSFER
406,9,932,TRANSFER
407,10,226,TRANSFER
408,10,78,TRANSFER
409,10,14,TRANSFER
410,10,27,TRANSFER
411,10,143,TRANSFER
412,10,188,TRANSFER
413,10,100,TRANSFER
414,10,22,TRANSFER
415,10,28,TRANSFER
416,10,198,TRANSFER
417,10,279,TRANSFER
418,10,1093,TRANSFER
419,10,728,TRANSFER
420,10,1408,TRANSFER
421,10,11,TRANSFER
422,10,770,TRANSFER
423,10,121,TRANSFER
424,10,95,TRANSFER
425,10,33,TRANSFER
426,10,42,TRANSFER
427,10,97,TRANSFER
428,10,1230,TRANSFER
429,10,53,TRANSFER
430,10,30,TRANSFER
431,10,29,TRANSFER
432,10,1215,TRANSFER
433,10,115,TRANSFER
434,10,26,TRANSFER
435,10,60,TRANSFER
436,10,924,TRANSFER
437,10,335,TRANSFER
438,10,49,TRANSFER
439,10,72,TRANSFER
440,10,125,TRANSFER
441,10,58,TRANSFER
442,10,979,TRANSFER
443,10,938,TRANSFER
444,10,385,TRANSFER
445,10,35,TRANSFER
446,10,123,TRANSFER
447,10,36,TRANSFER
448,10,137,TRANSFER
449,10,298,TRANSFER
450,10,1226,TRANSFER
451,10,71,TRANSFER
452,10,18,TRANSFER
453,10,1159,TRANSFER
454,10,51,TRANSFER
455,10,664,TRANSFER
456,10,67,TRANSFER
457,10,24,TRANSFER
458,10,16,TRANSFER
459,10,238,TRANSFER
460,10,41,TRANSFER
461,10,102,TRANSFER
462,10,91,TRANSFER
463,10,152,TRANSFER
464,10,55,TRANSFER
465,10,12,TRANSFER
466,10,181,TRANSFER
467,10,40,TRANSFER
468,10,94,TRANSFER
469,10,21,TRANSFER
470,10,747,TRANSFER
471,10,62,TRANSFER
472,10,351,TRANSFER
473,10,1211,TRANSFER
474,10,73,TRANSFER
475,10,75,TRANSFER
476,10,86,TRANSFER
477,10,341,TRANSFER
478,11,39,TRANSFER
479,11,25,TRANSFER
480,11,65,TRANSFER
481,11,35,TRANSFER
482,11,23,TRANSFER
483,11,1215,TRANSFER
484,11,32,TRANSFER
485,11,50,TRANSFER
486,11,31,TRANSFER
487,11,27,TRANSFER
488,11,1002,TRANSFER
489,11,64,TRANSFER
490,11,692,TRANSFER
491,11,112,TRANSFER
492,11,29,TRANSFER
493,11,9,TRANSFER
494,11,126,TRANSFER
495,11,24,TRANSFER
496,11,13,TRANSFER
497,11,624,TRANSFER
498,11,463,TRANSFER
499,11,43,TRANSFER
500,11,14,TRANSFER
501,11,155,TRANSFER
502,11,38,TRANSFER
503,11,42,TRANSFER
504,11,47,TRANSFER
505,11,665,TRANSFER
506,11,1007,TRANSFER
507,11,1345,TRANSFER
508,11,984,TRANSFER
509,11,489,TRANSFER
510,11,40,TRANSFER
511,11,34,TRANSFER
512,11,17,TRANSFER
513,11,106,TRANSFER
514,11,349,TRANSFER
515,11,345,TRANSFER
516,11,440,TRANSFER
517,11,645,TRANSFER
518,11,58,TRANSFER
519,11,658,TRANSFER
520,11,20,TRANSFER
521,11,99,TRANSFER
522,11,46,TRANSFER
523,11,335,TRANSFER
524,11,30,TRANSFER
525,11,45,TRANSFER
526,11,53,TRANSFER
527,11,344,TRANSFER
528,11,21,TRANSFER
529,11,16,TRANSFER
530,11,12,TRANSFER
531,11,1067,TRANSFER
532,11,15,TRANSFER
533,11,1233,TRANSFER
534,11,1058,TRANSFER
535,11,55,TRANSFER
536,11,174,TRANSFER
537,11,956,TRANSFER
538,11,18,TRANSFER
539,11,143,TRANSFER
540,11,44,TRANSFER
541,11,57,TRANSFER
542,11,136,TRANSFER
543,11,173,TRANSFER
544,11,168,TRANSFER
545,11,89,TRANSFER
546,11,88,TRANSFER
547,11,961,TRANSFER
548,11,90,TRANSFER
549,11,26,TRANSFER
550,11,22,TRANSFER
551,11,347,TRANSFER
552,11,773,TRANSFER
553,12,52,TRANSFER
554,12,58,TRANSFER
555,12,11,TRANSFER
556,12,735,TRANSFER
557,12,20,TRANSFER
558,12,127,TRANSFER
559,12,45,TRANSFER
560,12,39,TRANSFER
561,12,443,TRANSFER
562,12,340,TRANSFER
563,12,121,TRANSFER
564,12,75,TRANSFER
565,12,10,TRANSFER
566,12,18,TRANSFER
567,12,25,TRANSFER
568,12,40,TRANSFER
569,12,360,TRANSFER
570,12,732,TRANSFER
571,12,337,TRANSFER
572,12,398,TRANSFER
573,12,56,TRANSFER
574,12,28,TRANSFER
575,12,27,TRANSFER
576,12,996,TRANSFER
577,12,323,TRANSFER
578,12,81,TRANSFER
579,12,74,TRANSFER
580,12,1388,TRANSFER
581,12,103,TRANSFER
582,12,30,TRANSFER
583,12,23,TRANSFER
584,12,21,TRANSFER
585,12,48,TRANSFER
586,12,98,TRANSFER
587,12,15,TRANSFER
588,12,4,TRANSFER
589,12,38,TRANSFER
590,12,351,TRANSFER
591,12,34,TRANSFER
592,12,2,TRANSFER
593,12,31,TRANSFER
594,12,46,TRANSFER
595,12,491,TRANSFER
596,12,104,TRANSFER
597,12,70,TRANSFER
598,12,41,TRANSFER
599,12,372,TRANSFER
600,12,13,TRANSFER
601,12,90,TRANSFER
602,12,54,TRANSFER
603,12,167,TRANSFER
604,12,61,TRANSFER
605,12,43,TRANSFER
606,12,287,TRANSFER
607,12,91,TRANSFER
608,12,32,TRANSFER
609,12,69,TRANSFER
610,12,181,TRANSFER
611,12,73,TRANSFER
612,12,7,TRANSFER
613,12,649,TRANSFER
614,12,35,TRANSFER
615,12,110,TRANSFER
616,12,55,TRANSFER
617,12,94,TRANSFER
618,12,105,TRANSFER
619,12,344,TRANSFER
620,12,19,TRANSFER
621,12,24,TRANSFER
622,12,44,TRANSFER
623,12,6,TRANSFER
624,12,444,TRANSFER
625,13,18,TRANSFER
626,13,553,TRANSFER
627,13,1336,TRANSFER
628,13,34,TRANSFER
629,13,866,TRANSFER
630,13,47,TRANSFER
631,13,93,TRANSFER
632,13,538,TRANSFER
633,13,84,TRANSFER
634,13,14,TRANSFER
635,13,57,TRANSFER
636,13,15,TRANSFER
637,13,99,TRANSFER
638,13,1056,TRANSFER
639,13,26,TRANSFER
640,13,868,TRANSFER
641,13,580,TRANSFER
642,13,68,TRANSFER
643,13,19,TRANSFER
644,13,9,TRANSFER
645,13,46,TRANSFER
646,13,347,TRANSFER
647,13,341,TRANSFER
648,13,960,TRANSFER
649,13,21,TRANSFER
650,13,375,TRANSFER
651,13,641,TRANSFER
652,13,102,TRANSFER
653,13,96,TRANSFER
654,13,36,TRANSFER
655,13,1238,TRANSFER
656,13,656,TRANSFER
657,13,30,TRANSFER
658,13,128,TRANSFER
659,13,383,TRANSFER
660,13,710,TRANSFER
661,13,79,TRANSFER
662,13,44,TRANSFER
663,13,22,TRANSFER
664,13,29,TRANSFER
665,13,1230,TRANSFER
666,13,28,TRANSFER
667,13,652,TRANSFER
668,13,86,TRANSFER
669,13,43,TRANSFER
670,13,104,TRANSFER
671,13,31,TRANSFER
672,13,211,TRANSFER
673,13,435,TRANSFER
674,13,12,TRANSFER
675,13,214,TRANSFER
676,13,1166,TRANSFER
677,13,20,TRANSFER
678,13,7,TRANSFER
679,13,80,TRANSFER
680,13,587,TRANSFER
681,13,11,TRANSFER
682,13,279,TRANSFER
683,13,172,TRANSFER
684,13,45,TRANSFER
685,13,5,TRANSFER
686,13,27,TRANSFER
687,13,75,TRANSFER
688,13,62,TRANSFER
689,13,985,TRANSFER
690,13,16,TRANSFER
691,13,161,TRANSFER
692,13,115,TRANSFER
693,13,52,TRANSFER
694,13,244,TRANSFER
695,13,103,TRANSFER
696,13,48,TRANSFER
697,14,8,TRANSFER
698,14,13,TRANSFER
699,14,20,TRANSFER
700,14,30,TRANSFER
701,14,974,TRANSFER
702,14,84,TRANSFER
703,14,33,TRANSFER
704,14,179,TRANSFER
705,14,17,TRANSFER
706,14,27,TRANSFER
707,14,95,TRANSFER
708,14,22,TRANSFER
709,14,1380,TRANSFER
710,14,10,TRANSFER
711,14,11,TRANSFER
712,14,23,TRANSFER
713,14,64,TRANSFER
714,14,222,TRANSFER
715,14,1077,TRANSFER
716,14,46,TRANSFER
717,14,123,TRANSFER
718,14,296,TRANSFER
719,14,62,TRANSFER
720,14,1435,TRANSFER
721,14,704,TRANSFER
722,14,178,TRANSFER
723,14,130,TRANSFER
724,14,26,TRANSFER
725,14,25,TRANSFER
726,14,87,TRANSFER
727,14,575,TRANSFER
728,14,89,TRANSFER
729,14,102,TRANSFER
730,14,148,TRANSFER
731,14,736,TRANSFER
732,14,1256,TRANSFER
733,14,9,TRANSFER
734,14,48,TRANSFER
735,14,958,TRANSFER
736,14,21,TRANSFER
737,14,1035,TRANSFER
738,14,992,TRANSFER
739,14,29,TRANSFER
740,14,45,TRANSFER
741,14,28,TRANSFER
742,14,453,TRANSFER
743,14,878,TRANSFER
744,14,1224,TRANSFER
745,14,41,TRANSFER
746,14,19,TRANSFER
747,14,15,TRANSFER
748,14,66,TRANSFER
749,14,7,TRANSFER
750,14,206,TRANSFER
751,14,460,TRANSFER
752,14,530,TRANSFER
753,14,332,TRANSFER
754,14,4,TRANSFER
755,14,114,TRANSFER
756,14,565,TRANSFER
757,14,43,TRANSFER
758,14,75,TRANSFER
759,14,170,TRANSFER
760,14,12,TRANSFER
761,14,6,TRANSFER
762,14,77,TRANSFER
763,14,5,TRANSFER
764,14,35,TRANSFER
765,14,469,TRANSFER
766,15,99,TRANSFER
767,15,25,TRANSFER
768,15,37,TRANSFER
769,15,30,TRANSFER
770,15,75,TRANSFER
771,15,230,TRANSFER
772,15,639,TRANSFER
773,15,6,TRANSFER
774,15,186,TRANSFER
775,15,7,TRANSFER
776,15,91,TRANSFER
777,15,48,TRANSFER
778,15,989,TRANSFER
779,15,42,TRANSFER
780,15,959,TRANSFER
781,15,353,TRANSFER
782,15,1000,TRANSFER
783,15,982,TRANSFER
784,15,677,TRANSFER
785,15,66,TRANSFER
786,15,21,TRANSFER
787,15,86,TRANSFER
788,15,32,TRANSFER
789,15,10,TRANSFER
790,15,197,TRANSFER
791,15,63,TRANSFER
792,15,40,TRANSFER
793,15,171,TRANSFER
794,15,142,TRANSFER
795,15,996,TRANSFER
796,15,965,TRANSFER
797,15,630,TRANSFER
798,15,38,TRANSFER
799,15,22,TRANSFER
800,15,35,TRANSFER
801,15,62,TRANSFER
802,15,31,TRANSFER
803,15,72,TRANSFER
804,15,219,TRANSFER
805,15,486,TRANSFER
806,15,81,TRANSFER
807,15,342,TRANSFER
808,15,11,TRANSFER
809,15,44,TRANSFER
810,15,41,TRANSFER
811,15,18,TRANSFER
812,15,326,TRANSFER
813,15,19,TRANSFER
814,15,294,TRANSFER
815,15,111,TRANSFER
816,15,162,TRANSFER
817,15,127,TRANSFER
818,15,94,TRANSFER
819,15,29,TRANSFER
820,15,623,TRANSFER
821,15,93,TRANSFER
822,15,71,TRANSFER
823,15,51,TRANSFER
824,15,88,TRANSFER
825,15,248,TRANSFER
826,15,124,TRANSFER
827,15,16,TRANSFER
828,15,100,TRANSFER
829,15,329,TRANSFER
830,15,20,TRANSFER
831,15,161,TRANSFER
832,15,153,TRANSFER
833,15,179,TRANSFER
834,15,82,TRANSFER
835,15,74,TRANSFER
836,15,24,TRANSFER
837,15,13,TRANSFER
838,15,95,TRANSFER
839,15,14,TRANSFER
840,15,493,TRANSFER
841,15,73,TRANSFER
842,15,149,TRANSFER
843,15,57,TRANSFER
844,15,725,TRANSFER
845,15,9,TRANSFER
846,15,34,TRANSFER
847,15,1241,TRANSFER
848,15,28,TRANSFER
849,15,229,TRANSFER
850,15,102,TRANSFER
851,15,344,TRANSFER
852,15,662,TRANSFER
853,15,976,TRANSFER
854,15,49,TRANSFER
855,15,3,TRANSFER
856,15,27,TRANSFER
857,15,311,TRANSFER
858,15,144,TRANSFER
859,15,17,TRANSFER
860,15,45,TRANSFER
861,15,60,TRANSFER
862,15,76,TRANSFER
863,15,115,TRANSFER
864,15,341,TRANSFER
865,15,143,TRANSFER
866,15,108,TRANSFER
867,16,20,TRANSFER
868,16,974,TRANSFER
869,16,35,TRANSFER
870,16,316,TRANSFER
871,16,104,TRANSFER
872,16,80,TRANSFER
873,16,56,TRANSFER
874,16,88,TRANSFER
875,16,18,TRANSFER
876,16,23,TRANSFER
877,16,383,TRANSFER
878,16,15,TRANSFER
879,16,31,TRANSFER
880,16,28,TRANSFER
881,16,33,TRANSFER
882,16,126,TRANSFER
883,16,36,TRANSFER
884,16,14,TRANSFER
885,16,770,TRANSFER
886,16,73,TRANSFER
887,16,19,TRANSFER
888,16,50,TRANSFER
889,16,339,TRANSFER
890,16,216,TRANSFER
891,16,1032,TRANSFER
892,16,101,TRANSFER
893,16,581,TRANSFER
894,16,29,TRANSFER
895,16,10,TRANSFER
896,16,42,TRANSFER
897,16,99,TRANSFER
898,16,368,TRANSFER
899,16,187,TRANSFER
900,16,62,TRANSFER
901,16,21,TRANSFER
902,16,157,TRANSFER
903,16,91,TRANSFER
904,16,12,TRANSFER
905,16,46,TRANSFER
906,16,30,TRANSFER
907,16,68,TRANSFER
908,16,113,TRANSFER
909,16,41,TRANSFER
910,16,4,TRANSFER
911,16,459,TRANSFER
912,16,937,TRANSFER
913,16,48,TRANSFER
914,16,67,TRANSFER
915,16,228,TRANSFER
916,16,713,TRANSFER
917,16,8,TRANSFER
918,16,92,TRANSFER
919,16,983,TRANSFER
920,16,52,TRANSFER
921,16,66,TRANSFER
922,16,89,TRANSFER
923,16,292,TRANSFER
924,16,233,TRANSFER
925,16,135,TRANSFER
926,16,327,TRANSFER
927,16,17,TRANSFER
928,16,27,TRANSFER
929,16,969,TRANSFER
930,16,647,TRANSFER
931,16,63,TRANSFER
932,16,994,TRANSFER
933,16,1064,TRANSFER
934,16,25,TRANSFER
935,16,40,TRANSFER
936,16,248,TRANSFER
937,16,24,TRANSFER
938,16,53,TRANSFER
939,16,992,TRANSFER
940,16,557,TRANSFER
941,16,7,TRANSFER
942,16,83,TRANSFER
943,16,13,TRANSFER
944,16,47,TRANSFER
945,16,645,TRANSFER
946,16,34,TRANSFER
947,16,355,TRANSFER
948,16,555,TRANSFER
949,16,3,TRANSFER
950,16,1180,TRANSFER
951,16,477,TRANSFER
952,16,363,TRANSFER
953,16,74,TRANSFER
954,16,282,TRANSFER
955,16,37,TRANSFER
956,16,159,TRANSFER
957,16,166,TRANSFER
958,16,1406,TRANSFER
959,16,723,TRANSFER
960,16,114,TRANSFER
961,16,49,TRANSFER
962,16,217,TRANSFER
963,16,313,TRANSFER
964,16,1352,TRANSFER
965,16,145,TRANSFER
966,17,32,TRANSFER
967,17,61,TRANSFER
968,17,397,TRANSFER
969,17,343,TRANSFER
970,17,16,TRANSFER
971,17,5,TRANSFER
972,17,54,TRANSFER
973,17,14,TRANSFER
974,17,26,TRANSFER
975,17,22,TRANSFER
976,17,168,TRANSFER
977,17,84,TRANSFER
978,17,80,TRANSFER
979,17,42,TRANSFER
980,17,10,TRANSFER
981,17,556,TRANSFER
982,17,38,TRANSFER
983,17,40,TRANSFER
984,17,282,TRANSFER
985,17,11,TRANSFER
986,17,52,TRANSFER
987,17,350,TRANSFER
988,17,27,TRANSFER
989,17,19,TRANSFER
990,17,33,TRANSFER
991,17,9,TRANSFER
992,17,110,TRANSFER
993,17,68,TRANSFER
994,17,67,TRANSFER
995,17,43,TRANSFER
996,17,325,TRANSFER
997,17,349,TRANSFER
998,17,4,TRANSFER
999,17,47,TRANSFER
1000,17,28,TRANSFER
1001,17,23,TRANSFER
1002,17,232,TRANSFER
1003,17,83,TRANSFER
1004,17,44,TRANSFER
1005,17,89,TRANSFER
1006,17,177,TRANSFER
1007,17,239,TRANSFER
1008,17,35,TRANSFER
1009,17,586,TRANSFER
1010,17,250,TRANSFER
1011,17,59,TRANSFER
1012,17,1243,TRANSFER
1013,17,723,TRANSFER
1014,17,50,TRANSFER
1015,17,153,TRANSFER
1016,17,30,TRANSFER
1017,17,115,TRANSFER
1018,17,79,TRANSFER
1019,17,990,TRANSFER
1020,17,727,TRANSFER
1021,17,21,TRANSFER
1022,17,144,TRANSFER
1023,17,164,TRANSFER
1024,17,1011,TRANSFER
1025,17,18,TRANSFER
1026,17,69,TRANSFER
1027,17,118,TRANSFER
1028,17,123,TRANSFER
1029,17,90,TRANSFER
1030,17,88,TRANSFER
1031,17,136,TRANSFER
1032,17,1049,TRANSFER
1033,17,134,TRANSFER
1034,17,113,TRANSFER
1035,17,475,TRANSFER
1036,17,1,TRANSFER
1037,17,214,TRANSFER
1038,17,348,TRANSFER
1039,17,57,TRANSFER
1040,17,633,TRANSFER
1041,17,65,TRANSFER
1042,17,158,TRANSFER
1043,17,64,TRANSFER
1044,17,101,TRANSFER
1045,17,25,TRANSFER
1046,17,224,TRANSFER
1047,17,74,TRANSFER
1048,17,167,TRANSFER
1049,17,219,TRANSFER
1050,17,1211,TRANSFER
1051,17,12,TRANSFER
1052,17,117,TRANSFER
1053,17,31,TRANSFER
1054,17,8,TRANSFER
1055,17,194,TRANSFER
1056,17,20,TRANSFER
1057,17,403,TRANSFER
1058,17,119,TRANSFER
1059,17,774,TRANSFER
1060,17,204,TRANSFER
1061,17,203,TRANSFER
1062,17,300,TRANSFER
1063,17,78,TRANSFER
1064,17,70,TRANSFER
1065,18,32,TRANSFER
